Reference Year,Facility Name,City,Province,Total Emissions (CO2e)
2022,Lieu d'enfouissement technique de RiviÃ¨re-du-Loup,Cacouna,Quebec,27020.4223
2022,Division Alma,Alma,Quebec,39077.23334
2022,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,352655.0299
2022,Kingston CoGen,Bath,Ontario,1011.502841
2022,Redwater Fertilizer Operations,Sturgeon County,Alberta,1226404.983
2022,Alberta Envirofuels,Edmonton,Alberta,299154.6084
2022,Alliance Pipeline Ltd. - AB Pipeline System,CALGARY,Alberta,559689.7412
2022,Alberta-Pacific Forest Industries Inc.,COUNTY OF ATHABASCA,Alberta,165068.4971
2022,Rio Tinto Alcan Inc.,Kitimat,British Columbia,420385.3391
2022,Algoma Steel Inc,Sault Ste. Marie,Ontario,3936242.59
2022,Aluminerie Alouette inc.,Sept-Ãles,Quebec,1140897.606
2022,Aluminerie de Baie-Comeau,BAIE-COMEAU,Quebec,534692.7012
2022,Aluminerie de BÃ©cancour inc.,BÃ©cancour,Quebec,821529.6256
2022,ATCO Pipelines - Transmission System,Edmonton,Alberta,110814.0481
2022,Atikokan Generating Station,Atikokan,Ontario,20438.98
2022,Battle River Generating Station,Forestburg,Alberta,875795.0667
2022,Bayside Power,SAINT JOHN,New Brunswick,31504.9
2022,Usine de Bedford,Bedford,Quebec,406762.354
2022,Belledune Generating Station,Belledune,New Brunswick,2381011.054
2022,Boundary Dam Power Station,ESTEVAN,Saskatchewan,3712015.501
2022,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,Ontario,211881.2162
2022,Brady Road Resource Management Facility,Winnipeg,Manitoba,587849.64
2022,Brampton Assembly Plant,Brampton,Ontario,61597.07594
2022,Brandon Generating Station,Brandon,Manitoba,19591.78619
2022,Brazeau Gas Plant,Drayton Valley,Alberta,138915.3314
2022,Brazeau River Gas Plant,DRAYTON VALLEY,Alberta,57739.86663
2022,Brighton Beach Power,Windsor,Ontario,257747.8091
2022,Brock West Landfill,Pickering,Ontario,54295.99212
2022,Brookfield Cement Plant,Brookfield,Nova Scotia,185374.3628
2022,Burnaby Refinery,Burnaby,British Columbia,485778.3024
2022,"TransCanada Pipeline, Saskatchewan",Burstall,Saskatchewan,1193888.65
2022,Cabot Canada Limited,Sarnia,Ontario,232850.506
2022,Calgary Energy Centre,Calgary,Alberta,769401.4923
2022,Calstock Power Plant,Hearst,Ontario,5430.8251
2022,Northern Lime Limited,Blind River,Ontario,132480.748
2022,Canadian Fertilizers Limited,Medicine Hat,Alberta,1618194.835
2022,Cancarb Ltd.,Medicine Hat,Alberta,178190.0981
2022,"TransCanada Pipeline, Alberta System",FAIRVIEW,Alberta,4943713.789
2022,Cardinal Power,Cardinal,Ontario,54172.0284
2022,Cariboo Pulp and Paper Company,Quesnel,British Columbia,124479.6028
